ID	Quelle	Titel	Autor_normalisiert	GND	Jahr	Geschlecht	Gattung	Gattung1	Gattung1 (Allgemeinwissenschaft)	Gattung2	Erzähltes Medium	Erzählerposition	Happyend	Epoche (nach Jahr)	Epoche (nach Fachwissenschaft)	Strömung	Ort	Verlag	Originalsprache	URI
k00100000075	Kernkorpus/TextGrid	Verbrechen und Strafe (Schuld und Sühne)	Dostojewski, Fjodor Michailowitsch	118527053	1866	m	Roman	Psychologischer Roman::Gesellschaftsroman::Philosophischer Roman::Kriminalroman		Zeit und Gesellschaft/Populäre Unterhaltung/Individuum und Entwicklung		heterodiegetisch	Happyend	Realismus	Moderne-Naturalismus (1)				ru	textgrid:mhpz.0
k00100000076	Kernkorpus/TextGrid	Der Idiot	Dostojewski, Fjodor Michailowitsch	118527053	1868	m	Roman	Psychologischer Roman::Gesellschaftsroman::bizarr-sensationeller Roman		Zeit und Gesellschaft/Individuum und Entwicklung		heterodiegetisch	kein Happyend	Realismus					ru	textgrid:mhpn.0
k00100000077	Kernkorpus/TextGrid	Großstadt	Duncker, Dora	116251654	1900	f	Roman	-				heterodiegetisch	Happyend	Moderne					de	textgrid:mkkk.0
k00100000078	Kernkorpus/TextGrid	Bozena	Ebner-Eschenbach, Marie von	118528661	1876	f	Roman	-				heterodiegetisch	Happyend	Realismus	Realismus (3)	österreichischer Spätrealismus			de	textgrid:mktj.0
k00100000079	Kernkorpus/TextGrid	Lotti, die Uhrmacherin	Ebner-Eschenbach, Marie von	118528661	1880	f	Roman	sentimentale Erzählung::autobiographische Erzählung				heterodiegetisch	Happyend	Realismus	Realismus (2)	österreichischer Spätrealismus			de	textgrid:mks5.0
k00100000080	Kernkorpus/TextGrid	Das Gemeindekind	Ebner-Eschenbach, Marie von	118528661	1887	f	Roman	Entwicklungsroman::Dorfgeschichte::Sozialroman::sozialkritischer Roman	Entwicklungsroman::Bildungsroman::Bauernroman	Zeit und Gesellschaft/Individuum und Entwicklung		heterodiegetisch	Happyend	Realismus	Realismus (3)	österreichischer Spätrealismus::Naturalismus			de	textgrid:mksx.0
k00100000081	Kernkorpus/TextGrid	Ein kleiner Roman	Ebner-Eschenbach, Marie von	118528661	1889	f	Roman	-				homodiegetisch	kein Happyend	Realismus		österreichischer Spätrealismus			de	textgrid:mksp.0
k00100000082	Kernkorpus/TextGrid	Unsühnbar	Ebner-Eschenbach, Marie von	118528661	1890	f	Roman	Eheroman		Zeit und Gesellschaft		heterodiegetisch	kein Happyend	Realismus	Realismus (2)	österreichischer Spätrealismus			de	textgrid:mkrw.0
k00100000083	Kernkorpus/TextGrid	Agave	Ebner-Eschenbach, Marie von	118528661	1903	f	Roman	Renaissancenovelle				heterodiegetisch	Happyend	Moderne					de	textgrid:mks9.0
k00100000084	Kernkorpus/TextGrid	Amalie. Eine wahre Geschichte in Briefen	Ehrmann, Marianne	11937160X	1788	f	Roman	-	autobiographischer Roman		Brief	homodiegetisch	Happyend	Aufklärung					de	textgrid:mr1g.0
