ID	Quelle	Titel	Autor_normalisiert	GND	Jahr	Geschlecht	Gattung	Gattung1	Gattung1 (Allgemeinwissenschaft)	Gattung2	Erzähltes Medium	Erzählerposition	Happyend	Epoche (nach Jahr)	Epoche (nach Fachwissenschaft)	Strömung	Ort	Verlag	Originalsprache	URI
k00100000146	Kernkorpus/TextGrid	Wilhelm Meisters Lehrjahre	Goethe, Johann Wolfgang	118540238	1795	m	Roman	Entwicklungsroman::Bildungsroman::Theaterroman::Psychologischer Roman::Künstlerroman::Transzendentalroman	Bildungsroman::Entwicklungsroman	Individuum und Entwicklung		heterodiegetisch	kein Happyend?	Romantik	Romantik-Klassik (4)	Klassik::Weimarer Klassik			de	textgrid:11d3w.0
k00100000147	Kernkorpus/TextGrid	Die Wahlverwandtschaften	Goethe, Johann Wolfgang	118540238	1809	m	Roman	Eheroman::Gesellschaftsroman::Ehebruchsroman::Psychologischer Roman::Familienroman::Zeitroman		Zeit und Gesellschaft		heterodiegetisch	kein Happyend	Romantik	Romantik-Klassik (2) | Realismus (1) | Romantik (1)	Klassik::Sturm und Drang			de	textgrid:11hnp.0
k00100000148	Kernkorpus/TextGrid	Wilhelm Meisters Wanderjahre	Goethe, Johann Wolfgang	118540238	1821	m	Roman	Montageroman::Gesellschaftsroman::Zeitroman	Zeitroman::Gesellschaftsroman	Zeit und Gesellschaft		gemischt	unbestimmbar	Romantik	Romantik-Klassik (2) | Realismus (1) | Romantik (1)	Klassik::Weimarer Klassik			de	textgrid:11h9j.0
k00100000149	Kernkorpus/TextGrid	Die toten Seelen oder Tschitschikows Abenteuer	Gogol, Nikolaj Vasilevic	118540424	1842	m	Roman	Satirischer Roman::Gesellschaftsroman::Abenteuerroman	Schelmenroman	Zeit und Gesellschaft		heterodiegetisch	kein Happyend	Realismus					ru	textgrid:nkcb.0
k00100000150	Kernkorpus/TextGrid	Oblomow	Gontscharow, Iwan 	118540734	1859	m	Roman	Psychologischer Roman::Charakterroman		Individuum und Entwicklung		heterodiegetisch	kein Happyend	Realismus		Innerlichkeit?			ru	textgrid:nkd1.0
k00100000151	Kernkorpus/TextGrid	Wie Uli der Knecht glücklich wird	Gotthelf, Jeremias	118540963	1841	m	Roman	Volksroman::Bauernroman::Regionalroman::Entwicklungsroman	pikaresker Roman::Bildungsroman::Erziehungsroman::Entwicklungsroman	Zeit und Gesellschaft/Individuum und Entwicklung		heterodiegetisch	Happyend	Romantik	Romantik-Biedermeier (1) | Realismus (1) | Realismus-Vormärz (1)	Biedermeier			de	textgrid:nkg2.0
k00100000152	Kernkorpus/TextGrid	Geld und Geist	Gotthelf, Jeremias	118540963	1843	m	Roman	Volksroman::Bauernroman		Zeit und Gesellschaft		heterodiegetisch	Happyend	Realismus	Romantik-Biedermeier (1) | Realismus (1) | Realismus-Vormärz (1)	Biedermeier			de	textgrid:nkfq.0
k00100000153	Kernkorpus/TextGrid	Uli der Pächter	Gotthelf, Jeremias	118540963	1849	m	Roman	Volksroman::Bauernroman::Regionalroman::Bildungsroman		Zeit und Gesellschaft/Individuum und Entwicklung		heterodiegetisch	Happyend	Realismus	Romantik-Biedermeier (1) | Realismus (1) | Realismus-Vormärz (1)	Biedermeier			de	textgrid:nkfh.0
k00100000154	Kernkorpus/TextGrid	Simplicissimus	Grimmelshausen, Hans Jakob Christoffel von	118542273	1669	m	Roman	Entwicklungsroman::Schelmenroman::Zeitroman::Pikaroroman::Weltroman::Erziehungsroman::Bildungsroman::Bekenntnisroman::Charakterroman::Zeitsatire::Abenteuerroman::Satirischer Roman::Staatsroman	Schelmenroman::Abenteuerroman::Entwicklungsroman::Vagabundenroman	Zeit und Gesellschaft/Individuum und Entwicklung		homodiegetisch	Happyend	Frühe Neuzeit	Barock (2) | Frühe Neuzeit (1)	Barock			de	textgrid:nvvs.0
k00100000155	Kernkorpus/TextGrid	Trutz simplex	Grimmelshausen, Hans Jakob Christoffel von	118542273	1670	m	Roman	Autobiographischer Roman::Pikaroroman	Schelmenroman	Zeit und Gesellschaft/Individuum und Entwicklung/Autobiographie		homodiegetisch	kein Happyend?	Frühe Neuzeit	Barock (2) | Frühe Neuzeit (1)	Barock			de	textgrid:nvvn.0
k00100000156	Kernkorpus/TextGrid	Der seltzame Springinsfeld	Grimmelshausen, Hans Jakob Christoffel von	118542273	1670	m	Roman	Entwicklungsroman::Schelmenroman		Zeit und Gesellschaft/Individuum und Entwicklung		homodiegetisch	Happyend?	Frühe Neuzeit	Barock (2) | Frühe Neuzeit (1)	Barock			de	textgrid:nvvg.0
k00100000157	Kernkorpus/TextGrid	Wally, die Zweiflerin	Gutzkow, Karl	118543830	1835	m	Roman	Liebesroman::Gesellschaftsroman::Emanzipationsroman::Enttäuschungsroman::Frauenroman		Zeit und Gesellschaft/Populäre Unterhaltung/Individuum und Entwicklung		heterodiegetisch	kein Happyend	Realismus	Realismus-Junges Deutschland (3) | Realismus (1)	Junges Deutschland			de	textgrid:p5bq.0
k00100000158	Kernkorpus/TextGrid	Die Ritter vom Geiste	Gutzkow, Karl	118543830	1850	m	Roman	Zeitroman::Schlüsselroman::Großstadtroman::Gesellschaftsroman	Zeitroman::Gesellschaftsroman::Sensationsroman	Zeit und Gesellschaft/Schlüsselroman		heterodiegetisch	kein Happyend	Realismus	Realismus-Junges Deutschland (2) | Realismus (2)	Junges Deutschland			de	textgrid:p5bt.0
k00100000159	Kernkorpus/TextGrid	Der Zauberer von Rom	Gutzkow, Karl	118543830	1858	m	Roman	Zeitroman::Schlüsselroman::Abenteuerroman	Sensationsroman::Zeitroman	Zeit und Gesellschaft/Populäre Unterhaltung		heterodiegetisch	Happyend	Realismus	Realismus-Junges Deutschland (2) | Realismus (1)	Junges Deutschland			de	textgrid:p5bm.0
k00100000160	Kernkorpus/TextGrid	Europäisches Sklavenleben	Hackländer, Friedrich Wilhelm von	118699962	1854	m	Roman	-				heterodiegetisch	unbestimmbar	Realismus					de	textgrid:pd41.0
k00100000161	Kernkorpus/TextGrid	Gräfin Faustine	Hahn-Hahn, Ida Gräfin von	118544918	1840	f	Roman	Liebesroman::Gesellschaftsroman::pathetisch-sentimentaler Roman::Salonroman		Zeit und Gesellschaft/Populäre Unterhaltung		gemischt	kein Happyend	Realismus	Realismus-Junges Deutschland (2) | Realismus-Vormärz (1)	Biedermeier			de	textgrid:phvm.0
k00100000162	Kernkorpus/TextGrid	Sibylle	Hahn-Hahn, Ida Gräfin von	118544918	1846	f	Roman	pathetisch-sentimentaler Roman::Autobiographie		Individuum und Gesellschaft		homodiegetisch	kein Happyend	Realismus	Realismus-Junges Deutschland (2)				de	textgrid:phvd.0
k00100000163	Kernkorpus/TextGrid	Maria Regina	Hahn-Hahn, Ida Gräfin von	118544918	1860	f	Roman	christlicher/katholischer Frauenroman				heterodiegetisch	kein Happyend	Realismus	Realismus-Junges Deutschland (1)				de	textgrid:phvk.0
k00100000164	Kernkorpus/TextGrid	Usong	Haller, Albrecht von	118545140	1771	m	Roman	Staatsroman::utopischer Roman	Staatsroman	Ideen und Religion		heterodiegetisch	unbestimmbar	Aufklärung	Aufklärung (1)				de	textgrid:pj15.0
k00100000165	Kernkorpus/TextGrid	Mitteilungen aus den Memoiren des Satan	Hauff, Wilhelm	118546864	1825	m	Roman	Satirischer Roman				homodiegetisch	unbestimmbar	Romantik	Romantik&Realismus (1) | Romantik (1)	Biedermeier			de	textgrid:pkf7.0
k00100000166	Kernkorpus/TextGrid	Lichtenstein	Hauff, Wilhelm	118546864	1826	m	Roman	Ritterroman::historischer Roman	historischer Roman::romantische Sage	Populäre Unterhaltung		heterodiegetisch	Happyend	Romantik	Romantik&Realismus (1) | Romantik (2)	Biedermeier			de	textgrid:pkft.0
k00100000167	Kernkorpus/TextGrid	Die Bettlerin vom Pont des Arts	Hauff, Wilhelm	118546864	1826	m	Roman	Liebesnovelle		Populäre Unterhaltung		heterodiegetisch	Happyend	Romantik	Romantik-Biedermeier (1) | Romantik&Realismus (1) |Romantik (1)				de	textgrid:pkdk.0
k00100000168	Kernkorpus/TextGrid	Einhart der Lächler	Hauptmann, Carl	118546910	1915	m	Roman	Entwicklungsroman::Künstlerroman::Malerroman	Künstlerroman	Individuum und Entwicklung		heterodiegetisch	Happyend	Moderne	Moderne-Symbolismus (1) | Moderne-Expressionismus (1)	Gegenströmungen zum Naturalismus			de	textgrid:pkjb.0
k00100000169	Kernkorpus/TextGrid	Ardinghello und die glückseligen Inseln	Heinse, Wilhelm	118548565	1787	m	Roman	Künstlerroman::Briefroman::Philosophischer Roman::Kunstroman	Briefroman	Individuum und Entwicklung/Ideen und Religion		homodiegetisch	Happyend	Aufklärung	Aufklärung-Sturm und Drang (2) | Aufklärung (1)	Sturm und Drang			de	textgrid:pvtv.0
k00100000170	Kernkorpus/TextGrid	Hildegard von Hohenthal	Heinse, Wilhelm	118548565	1795	m	Roman	Persönlichkeitsroman::Musikroman::Künstlerroman		Individuum und Entwicklung		heterodiegetisch	Happyend	Aufklärung	Aufklärung-Sturm und Drang (1)	Sturm und Drang			de	textgrid:pvvh.0
k00100000171	Kernkorpus/TextGrid	Faust und Don Juan	Hesekiel, George	118703986	1846	m	Roman	-				gemischt	kein Happyend	Realismus					de	textgrid:q354.0
k00100000172	Kernkorpus/TextGrid	Briefe, die ihn nicht erreichten	Heyking, Elisabeth von	104359080	1903	f	Roman	Briefroman	Briefroman		Brief	homodiegetisch	kein Happyend	Moderne					de	textgrid:q366.0
k00100000173	Kernkorpus/TextGrid	Tschun	Heyking, Elisabeth von	104359080	1914	f	Roman	-				heterodiegetisch	unbestimmbar	Moderne					de	textgrid:q362.0
k00100000174	Kernkorpus/TextGrid	Kreuz- und Querzüge des Ritters A bis Z	Hippel, Theodor Gottlieb von	11855137X	1760	m	Roman	Humoristischer Roman	humoristischer Roman			heterodiegetisch	unbestimmbar	Aufklärung	Aufklärung (3)	Sturm und Drang::Pietismus			de	textgrid:q5q7.0
k00100000175	Kernkorpus/TextGrid	Lebensläufe nach aufsteigender Linie	Hippel, Theodor Gottlieb von	11855137X	1778	m	Roman	Satirischer Roman::Familienroman	humoristischer Roman			homodiegetisch	kein Happyend	Aufklärung	Aufklärung-Empfindsamkeit (1) | Aufklärung (1)	Empfindsamkeit			de	textgrid:q5q0.0
k00100000176	Kernkorpus/TextGrid	Die Elixiere des Teufels	Hoffmann, E. T. A.	118552465	1815	m	Roman	Schauerroman::Entwicklungsroman		Individuum und Entwicklung/Populäre Unterhaltung		homodiegetisch	kein Happyend	Romantik	Romantik (3)	Romantik			de	textgrid:q5vf.0
k00100000177	Kernkorpus/TextGrid	Lebensansichten des Katers Murr	Hoffmann, E. T. A.	118552465	1819	m	Roman	Bildungsroman::Humoristischer Roman::Satirischer Roman::Künstlerroman::Satirischer Gesellschaftsroman::Zeitroman	Satirischer Roman::humoristischer Roman::Gesellschaftsroman::Künstlerroman	Individuum und Entwicklung		homodiegetisch	unbestimmbar	Romantik	Romantik (3)	Romantik			de	textgrid:q5t3.0
k00100000178	Kernkorpus/TextGrid	Andreas oder die Vereinigten	Hofmannsthal, Hugo von	118552759	1932	m	Roman	Entwicklungsroman::Bildungsroman	Entwicklungsroman	Individuum und Entwicklung		heterodiegetisch	unbestimmbar	Moderne	Moderne-Gegenströmungen zum Naturalismus (1) | Moderne (2)	Gegenströmungen zum Naturalismus			de	textgrid:qdt5.0
k00100000179	Kernkorpus/TextGrid	Fragment von Hyperion	Hölderlin, Friedrich	118551981	1795	m	Roman	Bildungsroman		Individuum und Entwicklung		homodiegetisch	unbestimmbar	Romantik	Romantik-Klassik (2)	Klassik			de	textgrid:qf39.0
k00100000180	Kernkorpus/TextGrid	Hyperions Jugend	Hölderlin, Friedrich	118551981	1795	m	Roman	Bildungsroman		Individuum und Entwicklung		homodiegetisch	kein Happyend	Romantik		Klassik			de	textgrid:qdzt.0
k00100000181	Kernkorpus/TextGrid	Hyperion oder der Eremit in Griechenland	Hölderlin, Friedrich	118551981	1797	m	Roman	Bildungsroman::Erziehungsroman::Philosophischer Briefroman::Briefroman::Transzendentalroman::Gegenwartsroman::Erinnerungsroman::Bekenntnisroman	lyrischer Briefroman	Individuum und Entwicklung	Brief	homodiegetisch	Happyend	Romantik	Romantik-Klassik (2) | Romantik (1)	Klassik			de	textgrid:qfq9.0
k00100000182	Kernkorpus/TextGrid	Die Familie Seldorf	Huber, Therese	118883712	1795	f	Roman	Entwicklungsroman::Revolutionsroman		Individuum und Entwicklung		heterodiegetisch	kein Happyend	Romantik					de	textgrid:qj5n.0
k00100000183	Kernkorpus/TextGrid	Luise	Huber, Therese	118883712	1796	f	Roman	Autobiographie::Anti-Bildungsroman				heterodiegetisch	kein Happyend	Romantik					de	textgrid:qj5b.0
k00100000184	Kernkorpus/TextGrid	Klosterberuf	Huber, Therese	118883712	1807	f	Roman	-				gemischt	Happyend	Romantik					de	textgrid:qj4z.0
k00100000185	Kernkorpus/TextGrid	Ellen Percy	Huber, Therese	118883712	1822	f	Roman	-				homodiegetisch	Happyend	Romantik					de	textgrid:qj5m.0
k00100000186	Kernkorpus/TextGrid	Der Glöckner von Notre Dame	Hugo, Victor	118554654	1831	m	Roman	Historischer Roman::Sozialer Roman::Ideenroman	historischer Roman	Zeit und Gesellschaft/Populäre Unterhaltung/Ideen und Religion		heterodiegetisch	kein Happyend	Romantik					fr	textgrid:qj60.0
k00100000187	Kernkorpus/TextGrid	Die liebenswürdige Adalie	Hunold, Christian Friedrich	118554840	1702	m	Roman	Galanter Roman::höfischer Roman				heterodiegetisch	Happyend	Aufklärung	Frühe Neuzeit (1)				de	textgrid:qkg8.0
k00100000188	Kernkorpus/TextGrid	Gegen den Strich	Huysmans, Joris-Karl	118555111	1884	m	Roman	Dekadenzroman::programmatisch-enzyklopädischer Ideenroman		Ideen und Religion		heterodiegetisch	unbestimmbar	Realismus	Moderne-Dekadenz (1)	Symbolismus::Décadence::fin de siècle::Gegenströmung zum Naturalismus			fr	textgrid:qkkn.0
k00100000189	Kernkorpus/TextGrid	Die Epigonen	Immermann, Karl	118555553	1836	m	Roman	Entwicklungsroman::Historischer Roman::Politischer Roman::Familienroman::Zeitroman::Bildungsroman::kritisch-realistischer Roman::satririscher Roman	Zeitroman	Zeit und Gesellschaft/Populäre Unterhaltung/Individuum und Entwicklung/Ideen und Religion		heterodiegetisch	Happyend	Romantik	Romantik-Biedermeier (1) | Realismus-Vormärz (1) | Romantik-Biedermeier&Romantik-Restauration&Realismus-Vormärz (1) | Realismus (1)	Biedermeier			de	textgrid:qkpz.0
k00100000190	Kernkorpus/TextGrid	Münchhausen	Immermann, Karl	118555553	1838	m	Roman	Humoristischer Roman::Satirischer Roman::Satirisch-zeitkritischer Roman::Zeitroman	Satirisch-humoristischer Roman	Zeit und Gesellschaft		heterodiegetisch	Happyend	Romantik	Romantik-Biedermeier (1) | Realismus-Vormärz (2) | Realismus (1)	Biedermeier			de	textgrid:qknw.0
k00100000191	Kernkorpus/TextGrid	Woldemar	Jacobi, Friedrich Heinrich	118556312	1779	m	Roman	Philosophischer Roman::didaktischer Roman::Zeitroman::Briefroman::Psychologisch-analytischer Roman		Zeit und Gesellschaft/Ideen und Religion		gemischt	unbestimmbar	Aufklärung	Aufklärung-Sturm und Drang (3)	Sturm und Drang			de	textgrid:qkqg.0
k00100000192	Kernkorpus/TextGrid	Aus Eduard Allwills Papieren	Jacobi, Friedrich Heinrich	118556312	1781	m	Roman	Briefroman::Philosophischer Roman::Psychologischer Roman		Ideen und Religion	Brief	homodiegetisch	unbestimmbar	Aufklärung	Aufklärung-Sturm und Drang (3)	Sturm und Drang			de	textgrid:qkqm.0
k00100000193	Kernkorpus/TextGrid	Niels Lyhne	Jacobsen, Jens Peter	118711172	1880	m	Roman	Künstlerroman::Entwicklungsroman::autobiographischer Roman::Psychologischer Entwicklungsroman		Individuum und Entwicklung/Autobiographie		heterodiegetisch	kein Happyend	Realismus	Moderne-Naturalismus (2)	Darwinismus			da	textgrid:qm79.0
k00100000194	Kernkorpus/TextGrid	Ninive	Janitschek, Maria	117078719	1896	f	Roman	-				heterodiegetisch	Happyend	Moderne					de	textgrid:qmpc.0
k00100000195	Kernkorpus/TextGrid	Die Amazonenschlacht	Janitschek, Maria	117078719	1897	f	Roman	-				heterodiegetisch	Happyend	Moderne					de	textgrid:qmnz.0
k00100000196	Kernkorpus/TextGrid	Einer Mutter Sieg	Janitschek, Maria	117078719	1898	f	Roman	-				heterodiegetisch		Moderne					de	textgrid:qmq9.0
k00100000197	Kernkorpus/TextGrid	Die unsichtbare Loge	Jean Paul	118557211	1793	m	Roman	Erziehungsroman::Staatsroman::Entwicklungsroman::Zeitsatire	Staatsroman::Fürstenspiegel::Erziehungsroman::Bildungsroman	Individuum und Entwicklung/Ideen und Religion		gemischt	kein Happyend	Romantik	Romantik-Klassik (1)	Klassik			de	textgrid:qmrk.0
k00100000198	Kernkorpus/TextGrid	Hesperus oder 45 Hundsposttage	Jean Paul	118557211	1795	m	Roman	Erziehungsroman::Staatsroman::Entwicklungsroman::Gesellschaftsroman	Staatsroman::Fürstenspiegel::Erziehungsroman::Bildungsroman	Zeit und Gesellschaft/Individuum und Entwicklung/Ideen und Religion		gemischt	Happyend	Romantik	Romantik-Klassik (1)	Klassik			de	textgrid:qmr9.0
k00100000199	Kernkorpus/TextGrid	Leben des Quintus Fixlein	Jean Paul	118557211	1796	m	Roman	Biographische Erzählung::humoristische Erzählung::enzyklopädischer Roman::Idylle	Idylle	Individuum und Entwicklung/Autobiographie		gemischt	Happyend	Romantik		Klassik			de	textgrid:qmrj.0
k00100000200	Kernkorpus/TextGrid	Blumen-, Frucht- und Dornenstücke	Jean Paul	118557211	1796	m	Roman	Humoristischer Roman::Eheroman		Zeit und Gesellschaft		gemischt	Happyend	Romantik	Romantik-Klassik (1)	Klassik			de	textgrid:qmrw.0
k00100000201	Kernkorpus/TextGrid	Titan	Jean Paul	118557211	1800	m	Roman	Erziehungsroman::Künstlerroman::Entwicklungsroman::Staatsroman::Bildungsroman::Schauerroman::höfischer Gesellschaftsroman::bürgerlich-humanistischer Entwicklungs- und Erziehungsroman::Zeitroman::Gesellschaftsroman	Entwicklungsroman::Bildungsroman	Zeit und Gesellschaft/Individuum und Entwicklung/Ideen und Religion		heterodiegetisch	kein Happyend	Romantik	Romantik-Klassik (2)	Klassik			de	textgrid:qmqq.0
k00100000202	Kernkorpus/TextGrid	Des Luftschiffers Giannozzo Seebuch	Jean Paul	118557211	1801	m	Roman	Satirischer Roman::Zeitsatire				homodiegetisch	kein Happyend	Romantik		Klassik			de	textgrid:qmqv.0
k00100000203	Kernkorpus/TextGrid	Flegeljahre	Jean Paul	118557211	1804	m	Roman	Entwicklungsroman::humoristischer Roman::Erziehungsroman::Bildungsroman		Individuum und Entwicklung		heterodiegetisch	unbestimmbar	Romantik	Romantik-Klassik (1) | Romantik (3)	Klassik			de	textgrid:qmqm.0
k00100000204	Kernkorpus/TextGrid	Des Feldpredigers Schmelzle Reise nach Flätz	Jean Paul	118557211	1809	m	Roman	-	Satire			homodiegetisch	unbestimmbar	Romantik	Romantik-Klassik&Realismus (1)	Klassik			de	textgrid:qmqt.0
k00100000205	Kernkorpus/TextGrid	Dr. Katzenbergers Badereise	Jean Paul	118557211	1809	m	Roman	Humoristischer Roman::Satirischer Roman	Satire			heterodiegetisch	Happyend	Romantik	Romantik-Klassik&Realismus (1)	Klassik			de	textgrid:qmqf.0
k00100000206	Kernkorpus/TextGrid	Der Prozeß	Kafka, Franz	118559230	1925	m	Roman	-				heterodiegetisch	kein Happyend	Moderne	Moderne-Verlorene und verbürgte Wirklichkeit (1) | Moderne (2) | Moderne-Existenzialismus (2)	Verlorene und verbürgte Wirklichkeit			de	textgrid:qmx4.0
k00100000207	Kernkorpus/TextGrid	Das Schloß	Kafka, Franz	118559230	1926	m	Roman	-				heterodiegetisch	kein Happyend	Moderne	Moderne-Verlorene und verbürgte Wirklichkeit (1) | Moderne (2) | Moderne-Existenzialismus (2)	Verlorene und verbürgte Wirklichkeit			de	textgrid:qmz4.0
k00100000208	Kernkorpus/TextGrid	Der Verschollene/Amerika	Kafka, Franz	118559230	1927	m	Roman	Zeitroman::Amerika-Roman	Bildungsroman	Zeit und Gesellschaft		heterodiegetisch	unbestimmbar	Moderne	Moderne-Verlorene und verbürgte Wirklichkeit (1) | Moderne (2) | Moderne-Existenzialismus (2)	Verlorene und verbürgte Wirklichkeit			de	textgrid:qmzg.0
k00100000209	Kernkorpus/TextGrid	Der grüne Heinrich1 [Erste Fassung]	Keller, Gottfried	11856109X	1854	m	Roman	Künstlerroman::Bildungsroman::Entwicklungsroman::autobiographischer Roman::Erziehungsroman::Malerroman	Bildungsroman::Entwicklungsroman::autobiographischer Roman	Individuum und Entwicklung/Autobiographie		gemischt	kein Happyend	Realismus	Realismus (5)				de	textgrid:qrpx.0
k00100000210	Kernkorpus/TextGrid	Der grüne Heinrich2 [Zweite Fassung]	Keller, Gottfried	11856109X	1879	m	Roman	Künstlerroman::Bildungsroman::Entwicklungsroman::autobiographischer Roman::Erziehungsroman::Malerroman	Bildungsroman::Entwicklungsroman::autobiographischer Roman	Individuum und Entwicklung/Autobiographie		homodiegetisch	Happyend	Realismus	Realismus (5)				de	textgrid:qt4g.0
k00100000211	Kernkorpus/TextGrid	Martin Salander	Keller, Gottfried	11856109X	1886	m	Roman	Zeitroman::Gesellschaftsroman::bürgerlicher Bürgerroman	Erziehungsroman::Zeitroman::Familienroman	Zeit und Gesellschaft		heterodiegetisch	unbestimmbar	Realismus	Realismus (3)	Gründerzeit			de	textgrid:qrx1.0
k00100000212	Kernkorpus/TextGrid	Beate und Mareile	Keyserling, Eduard von	118561812	1903	m	Roman	Liebesroman::Schlossroman		Populäre Unterhaltung		heterodiegetisch	kein Happyend	Moderne	Moderne-Impressionismus (3) | Moderne-Dekadenz&Moderne-Impressionismus (1) | Moderne-Naturalismus (1)				de	textgrid:qx50.0
k00100000213	Kernkorpus/TextGrid	Dumala	Keyserling, Eduard von	118561812	1907	m	Roman	Eheroman		Zeit und Gesellschaft		heterodiegetisch	kein Happyend	Moderne	Moderne-Impressionismus (2)	Impressionismus			de	textgrid:qx5c.0
k00100000214	Kernkorpus/TextGrid	Wellen	Keyserling, Eduard von	118561812	1911	m	Roman	Eheroman::Dekadenzroman		Zeit und Gesellschaft		heterodiegetisch	kein Happyend	Moderne	Moderne-Impressionismus (3)	Impressionismus			de	textgrid:qx55.0
k00100000215	Kernkorpus/TextGrid	Abendliche Häuser	Keyserling, Eduard von	118561812	1914	m	Roman	Liebesroman::Dekadenzroman		Populäre Unterhaltung		heterodiegetisch	kein Happyend	Moderne	Moderne-Impressionismus (3)	Impressionismus			de	textgrid:qx5b.0
k00100000216	Kernkorpus/TextGrid	Bracke	Klabund	118562681	1918	m	Roman	Humoristischer Roman::Landstreicherroman	Eulenspiegelroman mit autobiographischen Zügen			heterodiegetisch	kein Happyend	Moderne	Moderne (1)	Verlorene und verbürgte Wirklichkeit			de	textgrid:qxcx.0
k00100000217	Kernkorpus/TextGrid	Borgia	Klabund	118562681	1928	m	Roman	Historischer Roman		Populäre Unterhaltung		heterodiegetisch		Moderne	Moderne (1)	Verlorene und verbürgte Wirklichkeit			de	textgrid:qz7c.0
k00100000218	Kernkorpus/TextGrid	Die Nachtwachen des Bonaventura	Klingemann, August	118563300	1804	m	Roman	Satirischer Roman::Zeitsatire	Satirischer Roman			homodiegetisch	unbestimmbar	Romantik	Romantik (2)				de	textgrid:r120.0
k00100000219	Kernkorpus/TextGrid	Fausts Leben, Taten und Höllenfahrt	Klinger, Friedrich Maximilian	118563319	1791	m	Roman	Entwicklungsroman::Gesellschaftssatire::Satirischer Roman::Philosophischer Roman::Reiseroman	Philosophischer Roman::Reise-/Erziehungsroman	Zeit und Gesellschaft/Individuum und Entwicklung/Ideen und Religion		heterodiegetisch	kein Happyend	Romantik	Romantik-Klassik (1)	Klassik::Sturm und Drang			de	textgrid:r129.0
k00100000220	Kernkorpus/TextGrid	Geschichte eines Teutschen der neusten Zeit	Klinger, Friedrich Maximilian	118563319	1798	m	Roman	Entwicklungsroman::politischer Gegenwartsroman::Zeitgeschichtsroman	didaktischer Zeitroman::Entwicklungsroman			heterodiegetisch		Romantik	Romantik-Klassik (1)	Sturm und Drang			de	textgrid:r12z.0
k00100000221	Kernkorpus/TextGrid	Benjamin Noldmanns Geschichte der Aufklärung in Abyssinien	Knigge, Adolph Freiherr von	11856370X	1791	m	Roman	Staatsroman::Satirischer Roman::utopisch-kritischer Reiseroman	Staatsroman	Ideen und Religion		heterodiegetisch		Aufklärung	Aufklärung (1)				de	textgrid:r226.0
k00100000222	Kernkorpus/TextGrid	Josephs von Wurmbrands ... politisches Glaubensbekenntnis	Knigge, Adolph Freiherr von	11856370X	1792	m	Roman	Staatsroman	Staatsroman	Ideen und Religion		homodiegetisch		Aufklärung					de	textgrid:r220.0
k00100000223	Kernkorpus/TextGrid	Die Reise nach Braunschweig	Knigge, Adolph Freiherr von	11856370X	1792	m	Roman	Humoristischer Roman::Reiseroman::komischer Roman::Zeitbild	humoristischer Roman::Reiseroman	Zeit und Gesellschaft/Populäre Unterhaltung		gemischt	Happyend	Aufklärung					de	textgrid:r225.0
k00100000224	Kernkorpus/DTA	Meister Timpe	Kretzer, Max	118715917	1888	m	Roman	Sozialer Roman::Gesellschaftsroman::Milieuroman	realistischer Roman	Zeit und Gesellschaft		heterodiegetisch		Realismus	Moderne-Naturalismus (3) | Realismus (1)	Naturalismus			de	
k00100000225	Kernkorpus/DTA	Der Amerika-Müde	Kürnberger, Ferdinand	118567764	1855	m	Roman	Anti-Amerikaroman::Reiseroman::Abenteuerroman	Kulturbild			heterodiegetisch	kein Happyend	Realismus					de	
k00100000226	Kernkorpus/TextGrid	Der Sonnenwirt	Kurz, Hermann	118778277	1854	m	Roman	Historischer Roman::Kulturroman::Geschichtsroman::Psychologischer Kriminalroman::Dorfroman::Abenteuerroman::Räuberroman::kulturhistorischer Roman	historisch-regionaler Roman	Populäre Unterhaltung		heterodiegetisch	kein Happyend	Realismus	Realismus (3)				de	textgrid:rdgh.0
k00100000227	Kernkorpus/TextGrid	Geschichte des Fräuleins von Sternheim	La Roche, Sophie von	118569767	1771	f	Roman	Liebesroman::Entwicklungsroman::Briefroman::Frauenroman::empfindsamer Roman::Prüfungsroman::Bildungsroman	moralisch-empfindsamer Briefroman::Frauenroman	Individuum und Entwicklung/Populäre Unterhaltung	Brief	homodiegetisch	Happyend	Aufklärung	Aufklärung-Empfindsamkeit (3)	Empfindsamkeit			de	textgrid:rfbc.0
k00100000228	Kernkorpus/TextGrid	Rosaliens Briefe an ihre Freundin Mariane von St**	La Roche, Sophie von	118569767	1779	f	Roman	Psychologischer Entwicklungsroman::Briefroman::Erziehungsroman::Bildungsroman		Individuum und Entwicklung	Brief	homodiegetisch		Aufklärung	Aufklärung-Empfindsamkeit (1) | Aufklärung (1)	Empfindsamkeit			de	textgrid:rf9z.0
k00100000229	Kernkorpus/TextGrid	Erscheinungen am See Oneida	La Roche, Sophie von	118569767	1798	f	Roman	Eheroman::Liebesroman		Zeit und Gesellschaft		homodiegetisch	Happyend	Aufklärung		Empfindsamkeit			de	textgrid:rfbb.0
k00100000230	Kernkorpus/TextGrid	Das junge Europa	Laube, Heinrich	118570080	1833	m	Roman	Zeitroman::Briefroman		Zeit und Gesellschaft	Brief	gemischt		Romantik	Realismus-Junges Deutschland (3)	Junges Deutschland			de	textgrid:rfch.0
